id,name,twentyfifteen,twentyonetwo,twentyzeronine
1,Alabama,14.5,13.9,12.9
2,Alaska,7,6.6,6.9
4,Arizona,13.3,12.4,10.5
5,Arkansas,14.2,14.1,13.5
6,California,12.2,11.5,9.8
8,Colorado,8.5,8.9,8.2
9,Connecticut,7.6,7.1,6.2
10,Delaware,8.2,7.6,7.1
11,District of Columbia,14.3,14.2,14.9
12,Florida,12,11.4,9.5
13,Georgia,14.2,13.4,11.4
15,Hawaii,7.7,7.6,6.8
16,Idaho,10.9,10.9,9.5
17,Illinois,10.5,10,9.1
18,Indiana,11.1,10.6,9.5
19,Iowa,8.1,7.9,7.3
20,Kansas,9.1,8.9,8.3
21,Kentucky,14.4,14.2,13.4
22,Louisiana,15.2,14.3,14.2
23,Maine,9.3,8.9,8.6
24,Maryland,7,6.5,5.5
25,Massachusetts,8.2,7.7,7
26,Michigan,11.9,11.7,10.3
27,Minnesota,7.3,7.2,6.4
28,Mississippi,17.6,17.5,17
29,Missouri,11.1,10.7,9.8
30,Montana,9.9,9.8,9.8
31,Nebraska,8.7,8.4,7.9
32,Nevada,11.4,10.6,8
33,New Hampshire,5.6,5.6,5
34,New Jersey,8.2,7.4,6.5
35,New Mexico,15.9,14.9,13.7
36,New York,12,11.4,10.5
37,North Carolina,12.8,12.4,11.1
38,North Dakota,7.2,7.5,7.4
39,Ohio,11.5,11.2,10
40,Oklahoma,12.4,12.3,12.2
41,Oregon,11.2,10.8,9.2
42,Pennsylvania,9.3,9.1,8.3
44,Rhode Island,10.1,9.2,8.1
45,South Carolina,13.5,13.2,11.9
46,South Dakota,9.1,8.7,8.8
47,Tennessee,13.2,13,12.2
48,Texas,13.4,13.5,13.2
49,Utah,9.1,8.9,7.2
50,Vermont,7.3,7.3,6.9
51,Virginia,8.2,7.8,7.2
53,Washington,8.9,8.7,7.9
54,West Virginia,13.1,12.8,13.2
55,Wisconsin,8.6,8.4,7.2
56,Wyoming,7.7,7.2,6.1

